Name,Index
"Butter, salted",173410
"Butter, whipped, with salt",173411
"Butter oil, anhydrous",173412
"Cheese, blue",172175
"Cheese, brick",172176
"Cheese, brie",172177
"Cheese, camembert",172178
"Cheese, caraway",173413
"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",173414
"Cheese, cheshire",173415
"Cheese, colby",173416
"Cheese, cottage, creamed, large or small curd",172179
"Cheese, cottage, creamed, with fruit",172180
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",172181
"Cheese, cottage, lowfat, 2% milkfat",172182
"Cheese, cottage, lowfat, 1% milkfat",173417
"Cheese, cream",173418
"Cheese, edam",173419
"Cheese, feta",173420
"Cheese, fontina",170843
"Cheese, gjetost",171240
"Cheese, gouda",171241
"Cheese, gruyere",171242
"Cheese, limburger",171243
"Cheese, monterey",170844
"Cheese, mozzarella, whole milk",170845
"Cheese, mozzarella, whole milk, low moisture",170846
"Cheese, mozzarella, part skim milk",170847
"Cheese, mozzarella, low moisture, part-skim",171244
"Cheese, muenster",171245
"Cheese, neufchatel",171246
"Cheese, parmesan, grated",171247
"Cheese, parmesan, hard",170848
"Cheese, port de salut",170849
"Cheese, provolone",170850
"Cheese, ricotta, whole milk",170851
"Cheese, ricotta, part skim milk",171248
"Cheese, romano",171249
"Cheese, roquefort",171250
"Cheese, swiss",171251
"Cheese, tilsit",170852
"Cheese, pasteurized process, American, fortified with vitamin D",170853
"Cheese, pasteurized process, pimento",170854
"Cheese, pasteurized process, swiss",170855
"Cheese food, cold pack, American",170856
"Cheese food, pasteurized process, American, vitamin D fortified",171252
"Cheese food, pasteurized process, swiss",171253
"Cheese spread, pasteurized process, American",171254
"Cream, fluid, half and half",171255
"Cream, fluid, light (coffee cream or table cream)",170857
"Cream, fluid, light whipping",170858
"Cream, fluid, heavy whipping",170859
"Cream, whipped, cream topping, pressurized",170860
"Cream, sour, reduced fat, cultured",171256
"Cream, sour, cultured",171257
Eggnog,171258
"Sour dressing, non-butterfat, cultured, filled cream-type",171259
"Milk, filled, fluid, with blend of hydrogenated vegetable oils",170861
"Milk, filled, fluid, with lauric acid oil",170862
"Cheese, American, nonfat or fat free",170863
"Yogurt, Greek, 2% fat, apricot, CHOBANI",170864
"Yogurt, Greek, 2%fat, coconut blend, CHOBANI",171260
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",171261
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",171262
"Cream substitute, powdered",171263
"Dessert topping, powdered",170865
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",170866
"Dessert topping, pressurized",170867
"Dessert topping, semi solid, frozen",170868
"Sour cream, imitation, cultured",170869
"Milk substitutes, fluid, with lauric acid oil",171264
"Milk, whole, 3.25% milkfat, with added vitamin D",171265
"Milk, producer, fluid, 3.7% milkfat",171266
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",171267
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",170870
"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",170871
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",170872
"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",170873
"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",171268
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",171269
"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",171270
"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",171271
"Milk, buttermilk, fluid, cultured, lowfat",170874
"Milk, low sodium, fluid",170875
"Milk, dry, whole, with added vitamin D",170876
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",170877
"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",171272
"Milk, dry, nonfat, calcium reduced",171273
"Milk, buttermilk, dried",171274
"Milk, canned, condensed, sweetened",171275
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",171276
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",170878
